Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
Sweden,SWE,1988,98.41473,98.42153,11.6892,,4623,4829,,,,,,,66.71218109,67.4981308,67.10083771,17.59049988,17.70410919,17.64668083,,,,54.18584061,56.98273849,55.56887054,1.96,79.95,74.15,68.555,122.28,99.47683716,99.40374756,,,,0,0,91.19061279,,88.91221619,,32.08280182,27.95332909,50.99265,49.44471,,46.63066,89.2513978,80.9682122,,
Eswatini,SWZ,1999,,,110.611,,,,,,,,,,,,,,,,,,,,,,3.997,52.795,46.228,474.493,578.381,66.1966629,63.15636826,75.40856171,84.08051,84.24658,14.48997,19.49995,45.26432037,35.73715,44.7874794,29.99388,4.419610023,5.106319904,50.08042,50.08042,,,39.9766794,25.4433972,91.80599213,89.05062866
East Asia & Pacific (IDA & IBRD countries),TEA,2009,,,20.92767786,,3220840,3186144,,,,,,,,,,,,,,,,,,,1.868181182,75.15781106,70.68303367,94.42756191,143.7376024,90.09285,88.29814,60.78008,96.66223,95.51469,1.1773,1.88315,80.25857,73.0879,79.07387,70.61718,23.83531952,22.62297058,48.29787,48.33347,49.49047,48.51195,83.5453645,76.21782131,,
Togo,TGO,1987,49.56997,75.82939,124.67,,148056,70358,,,,,,,,,,,,,,,,,,,6.566,57.002,53.672,240.633,298.926,40.78047943,62.80051041,20.23012924,72.26983,77.93963,35.86279,33.99422,8.693240166,,28.48374939,,0.539919972,3.675839901,23.45567,23.57194,12.13834,25.30237,56.933794,49.593063,,
Trinidad and Tobago,TTO,1969,,,98.763,,,,,,,,,,,,,,,,,,,,,,3.658,66.441,62.835,183.386,262.731,,,,,,,,,,,,,,,,,,68.2546666,59.986994,,
Uganda,UGA,1984,,,173.2288,,,,,,,,,,,,,,,,,,,,,,7.103,51.2,47.491,351.319,441.242,,,,,,,,,,,,,,32.7173,,,,45.1870504,36.5319238,,
Uganda,UGA,2004,,,160.5056,,,,,,,,,,,,,,,,,,,,,,6.662,52.943,48.175,420.798,506.546,25.36440086,25.65358925,37.65674973,41.73136,41.66188,13.70738,13.79019,17.0571003,14.66158,21.72640038,16.78376,2.782530069,4.577330112,44.99668,44.42734,21.94850922,33.17274,43.8156366,33.8981638,,
Upper middle income,UMC,1969,,,55.58528229,,,,,,,,,,,,,,,,,,,,,,5.247135722,61.87782141,57.04902406,213.0964822,281.22478,,,,,,,,,,,,,,,,,,62.75818576,52.52560562,,
Upper middle income,UMC,2008,96.54122,96.80318,29.30001743,,3617454,3251258,,,,,,,,,,,,,,,,,,,1.824057859,75.59403092,70.36822906,98.71287885,166.1674322,90.67801,88.91824,63.98205,97.29809,97.69735,2.86487,3.75717,83.47011,75.97171,81.54006,73.47872,31.25239944,27.61977005,49.08535,48.9568,54.13398,48.20005,83.39469438,74.1252657,,
Uruguay,URY,1981,,,63.605,,,,,,,,,,,,,,,,,,,,,,2.666,74.088,67.198,108.029,203.846,,,,,,,,,,,,,,,,,47.51509,80.9992902,66.9540424,,
Uzbekistan,UZB,1979,,,38.8702,,,,,,,,,,,,,,,,,,,,,,5.251,67.763,60.799,130.43,248.737,,,,,,,,,,,,,,,,,,72.3408982,57.8110352,,
"Venezuela, RB",VEN,2005,92.85645,91.5845,90.7782,,73579,95435,,,,,,,,,,,,,,,,,,,2.629,76.862,69.104,97.361,210.357,93.10713196,87.1917038,,99.1712,100,5.11833,8.33241,79.25762939,67.63398,70.1218338,58.8284,,,52.14317,52.05656,,49.88089,83.352225,69.7657688,,
British Virgin Islands,VGB,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,84.98023987,,67.77777863,,,,54.0201,54.0201,58.69564819,,,,,
Virgin Islands (U.S.),VIR,1963,,,153.8776,,,,,,,,,,,,,,,,,,,,,,5.696,68.583,65.485,166.008,209.788,,,,,,,,,,,,,,,,,,72.371679,65.6130966,,
Virgin Islands (U.S.),VIR,1983,,,85.5306,,,,,,,,,,,,,,,,,,,,,,2.973,74.08,70.82,106.407,144.234,,,,,,,,,,,,,,49.20233,49.20233,,,81.8335648,75.3857088,,
Vietnam,VNM,1980,,,20.2848,,,,,,,,,,,,,,,,,,,,,,5.046,71.963,63.12,115.279,238.51,,,64.32621002,,,,,,,,,,,47.10263,,,,78.2332536,61.955652,,
World,WLD,1993,,,64.05522091,,63900000,42600000,,,,,,,,,,,,,,,,,,,2.987612746,68.28250829,63.67526091,154.0389568,225.780429,75.6878,75.29105,57.14655,81.54955,83.45929,5.60369,6.51944,50.90609,,59.2738,,13.58551979,14.50998974,45.19121,45.04479,49.36419,43.94374,73.14330371,63.8603121,,
Samoa,WSM,1979,,,51.3134,,,,,,,,,,,,,,,,,,,,,,6.32,66.32,60.508,262.748,379.012,,,70.16461182,,,,,74.54142761,,69.44712067,,,,49.79373,49.79145,,49.68288,67.5328272,55.42226,,
Samoa,WSM,1983,,,45.1276,,,,,,,,,,,,,,,,,,,,,,5.85,67.749,61.947,234.285,346.985,,,71.77097321,,,,,,,,,3.053790092,3.159790039,49.74012,,,,69.6119476,56.9628154,,
Africa Western and Central,AFW,1986,,,162.2586262,,,,,,,,,,,,,,,,,,,,,,6.713787334,49.61235872,46.99982286,328.8432596,382.3345211,,,,,,,,,,,,,,,,,,45.12400953,39.31188686,,
Burundi,BDI,1987,40.80462,52.42783,82.06,19.1,227991,179917,,,,,,,,,,,,,,,,,,,7.448,49.577,46.96,328.388,388.034,81.94445038,82.79029083,48.23593903,18.02177,17.82647,17.49584,18.31082,2.973150015,2.3326,5.535270214,3.99591,0.330300003,0.936990023,34.16478,35.81838,20.17819977,38.08979,41.4647,35.32392,,
Burundi,BDI,1982,18.5612,29.25203,87.084,,265282,226177,,,,,,,,,,,,,,,,,,,7.399,48.72,45.875,339.18,399.394,,,47.35338974,7.45036,12.94482,28.89043,28.76827,2.258769989,1.90099,4.009439945,3.14572,0.241750002,0.775259972,31.80131,36.5526,18.26840019,41.60178,40.868515,34.678346,,
"Bahamas, The",BHS,1965,,,81.9606,,,,,,,,,,,,,,,,,,,,,,4.06,67.309,63.15,202.944,280.103,,,,,,,,,,,,,,,,,,67.3401036,55.9044502,,
Bolivia,BOL,2003,,,84.9532,60.8,,,,,,,,,,,,,,,,,,,,,3.798,66.321,62.197,195.201,259.836,,,,,,,,80.66181946,70.47711,85.85749054,73.55365,,,47.31838,47.50707,,47.63855,68.1173842,60.3010882,,
Bhutan,BTN,1998,50.22886,57.60078,85.1654,,26967,23359,,,,,,,,,,,,,,,,,,,3.895,59.294,58.869,310.772,304.866,79.00054932,74.5145874,32.98086929,94.27224,92.95293,12.06701,13.83598,20.21977043,16.90257,26.62042046,18.67266,,,42.85481,42.85481,,,53.542706,54.0101216,93.89312744,93.61382294
Channel Islands,CHI,1994,,,16.6272,,,,,,,,,,,,,,,,,,,,,,1.554,79.334,74.1,65.028,109.787,,,,,,,,,,,,,,,,,,89.1840368,81.6546032,,
Chile,CHL,2005,,,55.8504,99.8,,,,,,,,,,,,,,,,,,,,,1.909,80.579,74.534,71.68,130.866,,,78.06842041,,,,,94.1103363,,92.90392303,,48.26502991,50.43981934,50.51727,49.46203,62.5712204,46.19172,88.5045632,79.3283808,,
Chile,CHL,2010,95.52824,95.43333,54.3068,99.8,22012,20182,,,,,,,73.54914856,76.66352081,75.0458374,17.93283081,18.23999977,18.08045006,17.93283081,18.23999977,18.08045006,51.98443985,53.8066597,52.86014938,1.884,81.661,75.745,70.405,120.986,97.62689972,98.23120117,77.69114685,97.3883,95.69367,,,91.39967346,86.45824,88.66488647,83.2031,70.32852936,65.47505951,50.64445,49.87867,61.85153961,47.37931,89.512678,81.1365018,,
China,CHN,1989,92.44208,99.6142,22.3464,,3576938,193853,,,,,,,,,,,,,,,,,,,2.46,70.819,67.425,111.749,149.979,,,41.52473068,,,,,30.9659996,,41.67744827,,,,40.97809,41.22715,29.38027,43.20153,77.8396098,71.5562344,,
Cameroon,CMR,1972,56.39323,69.99546,189.803,,225321,155864,,,,,,,,,,,,,,,,,,,6.287,48.978,46.223,346.826,402.702,50.7137413,59.11832047,13.40361977,22.28285,27.83312,,,5.43132019,4.84029,12.7720499,10.4634,0.111259997,1.104269981,28.08752,29.75345,22.67073059,34.71994,43.762525,38.182228,,
"Congo, Rep.",COG,1961,,,138.003,,,,,,,,,,,,,,,,,,,,,,5.922,49.006,43.822,329.647,380.665,,,,,,,,,,,,,,,,,,42.0530628,31.0167864,,
Comoros,COM,2005,,,84.5882,,,,,,,,,,,,,,,,,,,,,,5.042,61.758,58.542,235.665,287.366,,,,,,,,,,,,,,,,,,61.4139322,54.3302332,,
Cabo Verde,CPV,1970,,,116.8942,,,,,,,,,,,,,,,,,,,,,,6.935,54.66,51.832,303.794,357.183,,,,,,,,,,,,,,,,,,51.1695238,44.6619322,,
Costa Rica,CRI,1983,,,97.3358,,,,,,,,,,,,,,,,,,,,,,3.5,76.445,71.111,94.749,144.832,,,,,,,,46.26408005,,41.11180878,,,,52.67782,52.35273,,51.23537,83.4048824,75.1678398,,
Dominica,DMA,2016,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7857132,,,2.20028,3.49391,,91.18397,,84.38385,,,50.4272,,72.84172821,,,,66.46090698,60.81081009
Denmark,DNK,2005,96.81633,95.52633,6.1686,98.8,2952,3060,,,,,,,,,,,,,,,,,,,1.8,80.2,75.6,69.267,111.142,,,,99.96186,100,0,0,126.4685822,93.02402,121.8640671,90.21064,93.3914032,67.65490723,51.40819,49.48016,,44.25761,88.5301648,82.104971,,
Denmark,DNK,2009,97.59002,95.32842,5.2958,98.7,1404,2379,,,,,,,,,,,,,34.6268692,31.18510056,32.06927109,73.49253845,80.80348969,74.97760773,1.84,80.8,76.5,64.924,106.703,99.16799164,98.61974335,,99.84512,100,0.13998,0.23362,119.1575775,91.29192,116.8529434,88.4559,88.40518951,60.75159836,51.1889,49.20206,,43.50751,89.6619568,83.7443582,,
Early-demographic dividend,EAR,1990,,,91.35271102,,36300000,20300000,,,,,,,,,,,,,,,,,,,4.22514377,61.84812697,59.24200829,208.8445695,263.2393146,65.91959,66.82076,47.93278,76.46917,81.06621,6.33456,7.10228,34.97147,,49.28251,,7.327630043,10.62483978,40.15072,40.27997,39.28992,42.04286,62.61782427,55.94605225,,
Euro area,EMU,1965,,,29.39592882,,,,,,,,,,,,,,,,,,,,,,2.681437056,73.36203049,67.44380931,104.5951338,194.4710901,,,,,,,,,,,,,,,,,,81.0348569,68.00452475,,
France,FRA,1972,97.81244,96.75117,28.154,,45890,71028,,,,,,,,,,,,,,,,,,,2.38,76,68.4,100.361,209.243,,,,,,11.0812,13.30692,80.98348236,,75.12267303,,,,51.62204,50.96346,41.41442871,48.24087,84.082684,68.573448,,
"Micronesia, Fed. Sts.",FSM,1973,,,73.7456,,,,,,,,,,,,,,,,,,,,,,6.842,61.936,58.5,218.35,244.355,,,,,,,,140.2304077,,167.1157837,,,,43.98464,43.39703,,7.52212,62.8109628,55.889461,,
Georgia,GEO,1974,,,36.1582,,,,,,,,,,,,,,,,,,,,,,2.533,72.346,64.646,100.422,238.421,,,,,,,,,,,,,,,,,,80.0645124,63.393795,,
Guinea-Bissau,GNB,2003,,,125.902,,,,,,,,,,,,,,,,,,,,,,5.555,53.934,48.98,292.85,312.092,,,,,,,,,,,,,,,,,,49.6388456,39.359092,,
Grenada,GRD,2016,,,30.4132,99.3,,,,,,,,,,,,,,,,,,,,,2.104,74.973,70.09,96.421,183.648,,,79.15691376,,,,,116.5050964,,113.9121933,,107.9313965,85.13854218,49.72237,49.72237,66.49417877,,81.2857136,72.0298842,64.2011795,58.42697144
Heavily indebted poor countries (HIPC),HPC,2014,78.40757,82.03815,107.5675534,,11600000,9654790,,,,,,,,,,,,,,,,,,,5.031545603,63.00901562,59.65908497,239.065478,291.6907114,55.7589,50.84637,41.94122,76.20036,78.25148,9.32088,9.70535,36.09173,28.95092,44.17123,33.96351,6.849760056,10.32534981,44.85858,44.61334,24.76364,42.11701,62.96171663,55.83167772,72.59020996,68.64115906
IDA only,IDX,1983,,,141.5242724,,18500000,13600000,,,,,,,,,,,,,,,,,,,6.43794554,51.76239379,49.36739525,302.5272954,347.8636405,48.0497,49.02745,32.85173,56.07576,59.13172,14.10963,14.52514,15.20296,14.02579,27.48325,22.14841,2.293709993,4.740499973,35.40994,35.28473,27.50102,33.52787,48.05650992,43.08947534,,
Ireland,IRL,1991,89.65726,88.08033,16.0986,,20816,25325,,,,,,,63.19530869,59.66204834,61.47642899,12.73139954,14.43000031,13.55776978,,,,42.77772903,40.50423813,41.67169189,2.08,77.892,72.256,74.913,132.963,,,76.62995148,,,,,102.7485504,80.0726,93.84755707,76.11952,26.64541054,29.94765091,49.98242,50.97256,,63.98381,86.7772294,77.8149648,,
Iceland,ISL,1993,,,25.1046,99.8,,,,,,,,,,,,,,,,,,,,,2.22,80.84,77.12,64.043,91.447,,,,,,,,101.7737122,,103.3579407,,31.93194962,22.86638069,52.15036,48.58598,,33.77664,89.4835682,83.9850916,,
Kazakhstan,KAZ,2008,,,28.7044,99.3,,,,,,,,,,,,,,,,,,,,,2.68,72.4,61.9,149.086,365.581,99.24221039,98.6704483,98.3453064,99.90758,99.77976,0.05488,0.09356,,,,,,,49.59299,,,,76.6842458,50.7863688,,
Kyrgyz Republic,KGZ,1991,,,65.1476,98.9,,,,,,,,,,,,,,,,,,,,,3.58,72.7,64.6,134.283,268.135,,,91.15296173,,,,,104.1673279,,100.6687393,,,,50.30797,50.27641,,49.90099,75.17501,58.3087234,,
Kuwait,KWT,1995,,,24.8564,,,,,,,,,,,,,,,,,,,,,,2.72,73.933,72.014,76.382,111.738,,,70.93448639,,,3.72134,3.98347,87.0907135,,82.08319855,,25.78549957,16.37435913,49.31839,49.21701,53.51807022,34.23221,84.6431306,79.5021496,,
Liberia,LBR,2006,,,142.2788,,,,,,,,,,,,,,,,,,,,,,5.338,57.902,54.927,274.618,313.893,,,12.88659954,,,6.88496,6.42214,,,,,,,42.71766,,,,56.530835,50.848536,44.75556183,38.80998993
Libya,LBY,1965,,,125.7282,,,,,,,,,,,,,,,,,,,,,,7.647,51.713,49.051,303.239,358.75,,,,,,,,,,,,,,,,,,48.3017408,42.0656828,,
Lesotho,LSO,2011,90.19989,88.64096,88.5858,,15380,17741,,,,,,,,,,,,,,,,,,,3.282,49.26,43.417,492.767,583.615,75.07466125,53.82535934,76.5951767,85.89064,85.25321,15.16255,21.36853,69.29828644,47.96394,50.2211113,29.9704,,,57.55781,57.98702,55.77433014,,33.3200946,20.3463948,70.67125702,52.64738846
Monaco,MCO,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.88973,48.80952,,48.22888,,,,
Madagascar,MDG,2013,,,117.9436,44.3,,,,,,,,,,,,,,,,,,,,,4.369,66.226,63.211,202.961,252.606,41.29246902,38.82048035,54.1362915,75.62767,76.10707,20.83811,23.28191,,,,,4.155119896,4.433070183,49.48054,,,,68.1767386,61.26247,22.6151104,14.54625988
Myanmar,MMR,1982,,,60.812,,,,,,,,,,,,,,,,,,,,,,4.644,57.087,50.517,274.052,346.349,,,54.45985031,,,,,,,,,,,44.69421,,,,53.479173,40.043784,,
Mauritania,MRT,2001,62.51283,65.11116,95.1196,53.4,80374,77306,,,,,,,,,,,,,,,,,,,5.369,62.596,58.926,203.4,254,41.57424164,39.3871994,23.73784065,49.13669,53.81926,15.47785,14.98296,17.58933067,12.08068,22.74570084,14.93673,1.165570021,5.642350197,43.03738,42.85267,10.40878963,35.64718,63.9671438,56.4071202,,
Mauritania,MRT,2005,73.94313,71.95313,89.0048,,60700,67476,,,,,,,,,,,,,,,,,,,5.184,63.166,59.475,197.2,246.4,43.05329132,46.14487839,30.86083031,55.63875,61.56865,10.25895,9.94194,20.81458092,13.22201,23.77086067,15.25918,1.463240027,4.372079849,46.18271,45.89745,12.68780994,38.05283,64.9353288,57.493734,100,100
Mauritania,MRT,2013,76.533,73.13688,77.4234,,66444,78288,,,,,,,,,,,,,,,,,,,4.847,65.07,61.614,184.361,228.695,,,36.20817947,55.26521,61.1266,3.4884,3.19628,29.11617088,20.44741,31.05694008,23.62476,3.299819946,7.465380192,47.78627,47.64196,,36.23188,67.5881534,60.613159,,
Nigeria,NGA,2008,58.24456,71.30839,121.9508,34.4,4874836,3473187,,,,,,,,,,,,,,,,,,,5.902,50.658,49.191,368.101,399.442,79.44499969,80.440979,,,,,,32.1325798,,38.53987122,,,,,44.69478,39.45820999,,44.1948712,40.4472328,,
Nigeria,NGA,1976,,,171.2704,,,,,,,,,,,,,,,,,,,,,,6.735,44.961,42.383,381.56,437.711,,,27.98595047,,,,,,,,,,,,,,,38.3169668,32.7954152,,
Netherlands,NLD,1969,,,20.577,,,,,,,,,,,,,,,,,,,,,,2.75,76.29,70.92,87.753,155.042,,,,,,,,,,,,,,,,,,85.5290238,74.1182928,,
Norway,NOR,2017,,,5.141,99.2,,,0.835330009,1.199219942,1.016680002,32.6765213,23.36053085,28.0698204,99.13868713,99.34426117,99.24034119,42.2792511,36.85921097,39.5990715,40.45769882,35.55319977,38.03245163,77.97325897,78.48059845,78.22413635,1.62,84.3,81,39.405,61.919,99.08860016,99.28498077,74.60700989,,,,,114.2239838,95.62558,119.3915329,95.59103,98.72164917,66.30628204,51.10103,47.60539,63.43302917,38.68595,92.871398,88.894621,,
Nepal,NPL,1981,,,131.11,,,,,,,,,,1.39004004,8.115530014,4.81923008,0.309480011,1.879050016,1.109760046,,,,,,,5.687,47.745,47.069,379.884,417.857,,,,,,,,7.476409912,,29.07066917,,,,,19.633,,,40.7541718,37.4336388,,
OECD members,OED,2011,96.27163,95.99976,28.06048141,,985900,1147826,,,,,,,,,,,,,,,,,,,1.774778984,82.23400978,76.63590177,63.5745824,117.9714379,94.46373,93.60892,79.46755,97.55328,98.18604,1.5453,2.12301,99.24487,86.39243,99.06298,85.66993,74.94409943,63.40111923,49.60046,48.73383,57.18069,44.23171,89.8127852,82.03148187,,
Pakistan,PAK,1983,,,101.914,,,,,,,,,,,,,,,,,,,,,,6.444,58.497,57.404,218.931,234.703,,,31.91851044,,,,,9.23830986,,26.24760056,,,,25.12693,24.93347,29.95417023,15.57612,59.2001072,56.8420336,,
Peru,PER,1980,,,90.8436,,,,,,,,,,,,,,,,,,,,,,5.041,62.247,58.291,176.582,244.824,68.09590912,72.53585815,60.07112122,84.53979,87.44837,18.26932,19.31715,52.94218063,,61.58214951,,12.12429047,21.77223969,45.73744,45.49794,,40.1281,65.792881,57.1944694,,
Peru,PER,1993,89.88694,90.15008,78.9782,,173556,175221,,,,,,,42.55318069,54.24821854,48.27936172,18.43971062,23.15613937,20.74898911,,,,18.43971062,23.15613937,20.74898911,3.552,70.046,65.715,140.412,205.756,,,59.16463089,,,13.89401,14.56363,,,,,,,,,,,75.5373394,67.2010086,,
Puerto Rico,PRI,1980,,,73.4198,,,,,,,,,,61.20241928,64.54605865,62.76681137,18.30281067,18.62157059,18.45195007,,,,45.4991188,47.35797882,46.36883163,2.607,77.155,70.41,98.655,214.032,,,,,,,,,,,,,,50.90015,,,,83.878147,70.16935,,
Puerto Rico,PRI,2012,89.99319,84.42795,45.594,,13375,22992,0.679509997,0.819130003,0.744149983,16.43407059,12.70763016,14.70888042,80.95536041,78.90065002,80.00411224,,,,35.71762848,25.97333908,31.20643044,71.99340057,67.54103851,69.93213654,1.5425,82.603,75.271,66.932,155.515,,,81.12258148,,,,,87.23403931,80.59137,80.54582214,74.38176,108.0762405,75.11727905,,50.32391,77.60069275,,89.573013,78.167336,,
"Korea, Dem. People's Rep.",PRK,1967,,,5.81,,,,,,,,,,,,,,,,,,,,,,4.257,59.357,53.142,273.215,368.923,,,,,,,,,,,,,,,,,,56.743259,42.541453,,
"Korea, Dem. People's Rep.",PRK,1978,,,4.8166,,,,,,,,,,,,,,,,,,,,,,2.897,68.115,61.768,167.467,245.691,,,,,,,,,,,,,,,,,,71.0655236,57.7512586,,
"Korea, Dem. People's Rep.",PRK,1979,,,4.9022,,,,,,,,,,,,,,,,,,,,,,2.815,68.572,62.237,162.703,239.531,,,,,,,,,,,,,,,,,,71.7605302,58.5806372,,
Paraguay,PRY,2006,95.54297,94.55646,79.6342,90.5,18432,23486,,,,,,,36.22145844,41.4473381,38.75701141,11.89319038,10.5780201,11.25508022,4.618309975,2.817569971,3.744610071,26.27800941,28.48995018,27.35121918,2.97,73.932,69.907,137.883,179.81,80.33059692,77.91634369,,88.36898,88.37674,3.82512,5.79937,67.0238266,59.65706,64.11760712,55.27901,,,50.28436,50.08076,,48.07456,77.9861344,71.5885782,,
Russian Federation,RUS,1983,,,46.0596,,,,,,,,,,,,,,,,,,,,,,2.11,73.42,62.16,130.844,350.978,,,,,,,,,,,,,,,,,,78.6690856,52.761158,,
Saudi Arabia,SAU,1983,,,111.3816,,,,,,,,,,,,,,,,,,,,,,6.933,66.816,63.653,162.277,212.248,,,,,,,,,,,,5.647369862,10.50314045,,,,,70.86111,63.722793,,
Sierra Leone,SLE,1960,,,193.6694,,,,,,,,,,,,,,,,,,,,,,6.127,32.654,30.491,531.887,544.595,,,,,,,,,,,,,,,,,,23.9695026,20.838127,,
El Salvador,SLV,2011,95.58788,95.54668,75.3112,99,,,,,,,,,36.01185989,41.75951004,38.55696869,9.523539543,11.06921959,10.20798016,9.523539543,11.06921959,10.20798016,24.05590057,26.90604019,25.31797028,2.224,75.955,66.696,110.088,275.421,85.62230682,82.34716034,72.78166199,95.23883,96.38231,4.51544,6.90929,70.98156738,63.77506,72.0291214,63.22494,28.30200005,26.00300026,48.94872,49.31878,52.83026886,51.33092,81.7839494,63.4978808,96.54663849,92.97575378
Serbia,SRB,1975,,,62.4692,,,,,,,,,,,,,,,,,,,,,,,,,119.299,196.22,,,,,,,,,,,,,,,,,,78.084746,66.5619252,,
South Sudan,SSD,1995,,,132.3108,,,,,,,,,,,,,,,,,,,,,,6.554,48.228,45.523,363.838,413.088,,,,,,,,,,,,,,,,,,42.1017074,37.0008568,,
Sub-Saharan Africa,SSF,2010,72.22591,77.52167,115.1766988,51.38328858,18000000,14400000,,,,,,,,,,,,,,,,,,,5.25798658,58.27142721,55.19777225,301.9419763,356.1652692,55.69354,55.54426,44.48217,75.24069,76.16402,8.6181,8.84787,35.78326,29.46706,43.561,33.93098,6.517970085,9.23390007,45.29597,44.81407,32.1071,37.85068,54.94923142,47.93662028,74.74160004,68.48777771
Slovak Republic,SVK,2011,84.19697,82.48173,22.1936,99,5932,5738,0.930410028,1.207479954,1.062469959,18.63521957,18.48863029,18.56543922,,,,21.19487953,20.05639076,20.65292931,,,,80.34190369,89.81082916,84.84931183,1.45,79.8,72.3,69.716,170.598,97.68399048,98.2094574,89.28288269,99.26223,99.23851,2.70595,2.96306,92.95864105,86.16452,92.25691986,84.83128,68.51109314,44.48934174,51.00706,48.92363,74.39588165,45.0361,88.5769016,73.5804006,,
Eswatini,SWZ,1981,74.06974,70.68142,179.4268,,16857,19026,,,,,,,,,,,,,,,,,,,6.662,58.266,54.571,284.442,348.265,64.70182037,60.08470154,79.00167084,80.21583,81.98354,10.24571,13.36454,,,,,2.412410021,4.033599854,49.27898,,,60.69959,55.9127458,48.1342236,,
East Asia & Pacific (IDA & IBRD countries),TEA,2000,,,22.21444368,83.99004991,5128696,4665605,,,,,,,,,,,,,,,,,,,1.89527343,72.3904154,68.18264645,111.1853167,159.0384873,89.04719,89.51461,53.91381,86.12694,87.48576,1.92006,2.21122,57.07244,60.51936,60.55239,64.78723,10.50096035,11.81215954,47.24001,47.23662,43.31821,47.21404,79.60029797,72.53100301,,
Europe & Central Asia (IDA & IBRD countries),TEC,2010,94.5266,93.8016,28.97543207,98.30568637,442507,426404,,,,,,,,,,,,,,,,,,,1.812492079,75.9084038,66.98705083,109.8434566,264.9036688,97.04387,96.24183,82.79282,99.20419,99.27007,0.74967,0.76999,88.79265,84.06752,91.22279,85.0625,64.87397766,53.53593063,49.66858,48.14728,71.54119,41.96666,82.60047876,62.77208097,,
Tajikistan,TJK,1971,,,64.3456,,,,,,,,,,,,,,,,,,,,,,6.943,56.032,52.754,144.902,190.02,,,,,,,,,,,,,,,,,,53.8536414,47.9019992,,
South Asia (IDA & IBRD),TSA,2015,,,30.63498084,,6901373,6673640,,,,,,,,,,,,,,,,,,,2.470078825,69.93969932,67.45098225,138.2227804,204.5620799,86.38424,84.85001,50.36221,90.72861,90.28481,1.60736,1.78213,68.47237,58.25063,68.42668,58.35437,22.4556694,23.34320068,47.94301,47.49095,43.16001,21.90829,73.89024379,67.89570675,71.36239624,71.2101593
Trinidad and Tobago,TTO,2008,97.76057,98.27572,37.4314,99.5,1359,1075,,,,,,,59.50839996,60.01704025,59.75954056,42.17232132,46.10066986,44.11194992,11.08178043,8.553290367,9.833339691,56.55479813,57.50318909,57.02307129,1.799,74.285,68.742,133.018,230.523,92.72310638,93.34555817,78.60514069,96.5848,92.15731,5.46358,7.65491,,,,,,,51.30531,,,,79.8338664,68.1872994,,
